stockName,value
NVDA,189.31
AAPL,259.2
AMZN,239.89
MSFT,384.37
TSLA,357.29
META,641.97
GOOGL,322.28
BRK.B,1470
JPM,311.55
NFLX,103.51
AMD,250.62
INTC,63.77
MU,436.3
PLTR,134.74
ORCL,166.66
AVGO,376.96
COST,975.83
WMT,123.4
XOM,149.78
CVX,188.79
KO,76.04
PEP,154.95
BAC,40.25
V,308.4
MA,470.22
GE,314.67
NKE,42.96
DIS,101.18
T,25.13
VZ,44.54
CSCO,82
ADBE,240.79
CRM,174.33
PYPL,47.76
ABNB,131.09
UBER,73.02
SQ,67.45
SHOP,117.87
SOFI,17.53
NIO,6.55
RIVN,16.33
F,12.45
GM,78.54
MARA,10.59
RIOT,17.97
AAL,14.32
UAL,96.42
DAL,68.28
BA,171.55
CAT,793.67
HD,339.9
LOW,226.51
PG,143.07
JNJ,235.23
MRK,120.15
PFE,27.16
ABBV,205.15
LLY,926.63
BMY,47.22
TGT,149.77
MCD,302.48
SBUX,98.09
CMCSA,27.83
QCOM,131.87
TXN,216.75
AMAT,397.62
LRCX,270.69
IBM,239
MS,390.11
GS,896.95
BLK,1050.69
BK,129.48
USB,55.96
C,130.15
ROKU,105.25
SNAP,5.24
TWLO,62.44
ZM,83.21
ETSY,56.06
EBAY,98.73
BABA,129.2
JD,25.33
TSM,377.14
NVAX,8.22
LULU,162.74
ROST,182.5
TJX,158.19
KHC,22.13
MDLZ,57.17
DE,597.84
UNH,314
CI,273.43
HUM,198.13
CVS,61.75
WBA,11.98
SPOT,312.55
PANW,164.82
NET,94.22
OKTA,65.85
DDOG,110.5
